country_iso3,measure,sex_own,entr_size,transaction_type,unit_measure,prices,unit_mult,country,year,value,obs_status,decimals,region_code
ESP,LOAN_COLLATERAL,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2018,24.05,A,2,NA
ESP,LOAN_REJECTION,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2018,5.95,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2018,1.69,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2018,1.89,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2018,1.087613293,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2018,21.99509403,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2018,0.2,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2018,3346,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2018,2,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2018,347,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2018,229,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2018,446,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2018,175,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2018,2984,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2018,157,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2018,18,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2018,30,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2018,20599,A,1,NA
